t,x
14218,901.31
14232,898.98
14246,897.99
14261,892.99
14275,893.74
14290,890.31
14305,887.98
14319,890.73
14333,889.80
14349,892.35
14363,888.76
14377,894.57
14392,894.18
14406,891.63
14422,894.23
14436,896.92
14450,894.19
14465,890.64
14479,891.23
14494,900.17
14509,908.63
14523,910.47
14537,918.85
14553,921.39
14567,924.29
14581,926.97
14596,930.98
14610,930.48
14625,928.36
14640,933.77
14654,932.33
14668,932.75
14684,930.81
14698,935.86
14712,935.14
14727,934.36
14741,933.77
14756,933.83
14771,933.62
14785,930.46
14799,924.60
14815,916.20
14829,909.15
14843,898.61
14858,898.46
14872,895.84
14887,894.38
14902,894.54
14916,895.90
14930,891.68
14945,887.51
14960,892.63
14974,894.22
14989,893.67
15003,889.00
15019,893.25
15033,889.69
15047,890.02
15062,892.51
15076,893.88
15091,893.41
15106,888.81
15120,901.11
15134,909.83
15150,914.12
15164,917.34
15178,923.01
15193,924.75
15207,926.32
15222,928.24
15237,930.43
15251,932.32
15265,929.74
15281,932.56
15295,933.42
15309,933.81
15324,931.61
15338,934.46
15353,931.84
15368,930.63
15382,930.47
15396,931.11
15411,931.83
15426,928.12
15440,921.84
15455,911.88
15469,902.16
15484,894.87
15499,895.15
15513,893.11
15527,891.59
15542,890.19
15557,890.39
15571,888.04
15586,885.53
15600,890.90
15616,889.67
15630,890.76
15644,886.57
15659,889.18
15673,886.63
15688,883.72
15703,885.79
15717,888.34
15731,887.01
15747,882.51
15761,895.88
15775,903.91
15790,909.68
15804,911.51
15819,919.38
15834,922.54
15848,924.40
15862,924.05
15877,926.79
15892,927.34
15906,923.51
15921,928.13
15935,926.60
15950,927.95
15965,926.46
15979,930.35
15993,930.76
16008,928.32
16023,928.74
16037,930.80
16052,928.35
16066,925.02
16081,918.01
16096,909.76
16110,901.57
16124,895.43
16139,897.32
16154,894.99
16168,891.74
16183,890.56
16197,890.17
16212,888.13
16227,881.59
16241,887.95
16256,887.46
16270,887.34
16285,884.51
16300,888.13
16314,887.85
16328,883.39
16343,886.04
16358,887.53
16372,889.65
16387,886.24
16401,888.68
16416,899.51
16431,906.88
16445,909.66
16459,919.75
16474,921.56
16489,921.92
16503,924.69
16518,926.02
16532,927.26
16547,924.45
16562,929.34
16576,927.75
16590,926.56
16605,924.92
16620,928.94
16634,928.96
16649,927.72
16663,928.29
16678,928.47
16693,928.35
16707,926.76
16721,920.32
16736,911.24
16751,906.18
16765,898.64
16780,896.73
16794,895.30
16808,892.47
16824,890.35
16838,888.77
16852,885.32
16867,881.74
16882,887.06
16897,886.79
16911,886.84
16925,885.38
16940,889.54
16955,888.40
16969,886.05
16984,886.04
16998,887.03
17013,886.77
17028,883.83
17042,898.62
17056,906.97
17071,913.72
17086,912.29
17100,919.22
17115,919.42
17129,920.31
17144,922.23
17159,923.93
17173,924.19
17187,921.65
17202,927.23
17217,925.93
17231,925.94
17246,927.46
17260,931.84
17274,930.63
17290,928.47
17304,929.11
17318,928.83
17333,929.37
17348,926.28
17362,920.96
17377,911.22
17391,902.41
17405,895.06
17421,896.05
17435,892.28
17449,890.71
17464,890.03
17479,889.03
17494,885.27
17508,879.20
17522,886.40
17537,885.80
17552,887.60
17566,886.20
17581,888.40
17595,885.80
17610,881.35
17625,884.51
17639,885.38
17653,883.79
17668,880.09
17683,894.82
17697,902.11
17712,906.34
17726,911.00
17740,918.25
17756,921.44
17770,921.33
17784,923.25
17799,923.93
17814,923.45
17828,920.59
17843,925.69
17857,926.02
17871,927.26
17887,923.70
17901,927.27
17915,928.21
17930,926.40
17945,927.05
17959,926.54
17974,925.15
17988,923.87
18002,916.15
18018,907.61
18032,900.71
18046,895.28
18061,892.96
18076,890.72
18091,887.79
18105,889.34
18119,888.76
18134,886.32
18149,881.49
18163,886.87
18178,886.65
18192,885.49
18206,886.62
18222,889.46
18236,885.85
18250,882.88
18265,885.41
18280,885.31
18294,885.48
18309,881.61
18323,881.71
18337,891.78
18353,901.34
18367,907.50
18381,915.13
18396,917.59
18411,917.95
18425,920.21
18440,920.16
18454,922.37
18468,919.28
18484,922.96
18498,924.22
18512,924.91
18527,924.93
18542,927.20
18556,925.90
18571,924.18
18585,925.13
18599,923.35
18615,924.51
18629,923.13
18643,914.85
18658,905.14
18672,899.85
18688,892.89
18702,890.92
18716,890.44
18731,886.58
18746,886.93
18760,883.95
18775,882.21
18789,877.66
18803,883.49
18819,884.62
18833,884.97
18847,883.97
18862,886.48
18877,882.86
18891,880.15
18906,883.11
18920,884.33
18934,883.75
18950,881.06
18964,894.30
18978,901.22
18993,906.42
19008,910.31
19022,914.48
19037,915.86
19051,915.65
19065,918.99
19081,919.99
19095,920.74
19109,918.31
19124,921.73
19138,922.80
19153,921.10
19168,921.07
19182,923.06
19196,920.79
19212,920.59
19226,922.95
19240,923.21
19255,923.66
19269,921.49
19284,914.87
19299,906.15
19313,899.11
19328,893.09
19343,890.56
19357,890.17
19372,884.88
19386,887.16
19400,884.87
19416,882.65
19430,877.24
19444,882.68
19459,884.01
19474,882.76
19488,883.57
19503,884.18
19517,879.63
19531,875.22
19547,880.17
19561,880.13
19575,880.84
19590,877.88
19604,893.41
19619,899.81
19634,905.36
19648,910.52
19662,914.64
19678,916.23
19692,916.17
19706,919.38
19721,920.28
19735,920.71
19750,918.53
19765,921.90
19779,919.68
19793,918.51
19809,917.88
19823,920.41
19837,920.31
19852,919.23
19866,920.92
19881,920.69
19896,922.27
19910,918.95
19924,910.71
19940,902.79
19954,895.34
19969,892.00
19983,889.25
19997,887.94
20013,884.70
20027,885.03
20041,884.27
20056,881.20
20070,879.15
20085,882.61
20100,881.96
20114,882.72
20128,880.04
20144,880.03
20158,877.77
20172,874.58
20187,878.43
20201,879.83
20216,879.87
20231,877.65
20245,878.74
20259,890.55
20275,896.67
20289,902.75
20303,908.81
20318,912.36
20332,913.02
20347,918.26
20362,918.70
20376,920.02
20390,918.27
20406,923.20
20420,923.15
20434,921.86
20449,921.15
20463,923.36
20478,923.02
20493,921.27
20507,924.20
20521,924.65
20536,923.99
20551,921.24
20566,915.18
20580,904.14
20594,894.60
20610,889.20
20624,885.40
20638,885.80
20653,880.60
20667,884.70
20682,882.03
20697,881.52
20711,878.64
20725,881.23
20741,882.42
20755,879.82
20769,877.86
20784,877.90
20798,876.17
20813,874.13
20828,880.10
20842,879.57
20856,880.68
20872,878.76
20886,892.07
20900,898.55
20915,898.91
20929,903.19
20944,907.89
20959,910.92
20973,909.44
20987,915.58
21002,914.93
21017,915.20
21031,916.90
21046,920.93
21060,921.94
21075,920.71
21090,920.78
21104,919.84
21118,918.88
21133,915.91
21148,921.93
21163,920.95
21177,920.46
21191,920.35
21207,912.51
21221,903.38
21235,894.54
21250,888.40
21264,883.55
21279,882.66
21294,878.75
21308,880.81
21322,878.86
21338,878.39
21352,877.80
21366,881.85
21381,881.13
21395,879.60
21410,878.20
21425,879.15
21439,878.36
21453,874.77
21468,879.33
21483,878.00
21497,880.25
21512,880.44
21526,892.33
21541,900.50
21556,903.62
21570,907.72
21584,909.54
21599,910.40
21614,908.55
21628,916.41
21643,916.31
21657,916.98
21672,915.99
21687,918.74
21701,917.31
21715,917.23
21730,919.42
21745,919.07
21760,917.55
21774,915.41
21788,919.81
21804,919.36
21818,920.77
21832,919.08
21847,912.31
21861,904.23
21876,895.92
21891,890.44
21905,886.83
21919,884.87
21934,879.16
21949,881.37
21963,879.02
21978,876.27
21992,875.20
22007,879.15
22022,880.61
22036,879.21
22050,880.41
22065,878.31
22080,875.98
22094,872.73
22109,877.55
22123,877.66
22138,876.50
22153,877.37
22167,878.78
22181,886.83
22196,894.13
22211,902.84
22225,907.13
22240,910.35
22254,911.01
22269,915.01
22284,917.51
22298,919.13
22312,918.85
22327,921.64
22342,920.73
22356,919.30
22371,918.72
22385,919.29
22400,918.72
22415,915.54
22429,921.15
22444,918.87
22458,918.65
22473,919.99
22488,912.49
22502,902.87
22516,893.40
22531,890.05
